Feature,Importance
loan_to_income,0.11610632722067818
payment_to_income,0.10786302312893017
loan_percent_income,0.10649693276897514
loan_grade,0.10117828754329909
person_income,0.09569246130733564
person_home_ownership,0.09498214140458319
loan_int_rate,0.08588648361664526
monthly_payment,0.053804087362512854
loan_intent,0.053144509294228634
person_emp_length,0.04986740325468509
loan_amnt,0.04157844909624606
credit_to_age,0.03380347307633831
person_age,0.0281146649163654
cb_person_cred_hist_length,0.020486037307927262
cb_person_default_on_file,0.010995718701249739
